"","Trend strength","AR strength","gls","mk","pw"
"1","strong trend","no AR",1,1,1
"2","strong trend","medium AR",0.999,1,0.997
"3","strong trend","strong AR",0.822,0.952,0.776
"4","no trend","no AR",0.06,0.043,0.05
"5","no trend","medium AR",0.13,0.201,0.122
"6","no trend","strong AR",0.173,0.473,0.247
